animalGroup,category,bucket,percent,count
cougar,rating,rating35_4,0,0
cougar,rating,rating4_45,50,1
cougar,rating,rating45above,0,0
cougar,type,typeDessert,0,0
cougar,type,typeFortified,0,0
cougar,type,typeRed,100,2
cougar,type,typeRose,0,0
cougar,type,typeSparkling,0,0
cougar,type,typeWhite,0,0
cougar,median,medianPrice,,31.080000000000002
cougar,median,medianRating,,3.85
cougar,median,steals,50,1
jaguar/leopard/panther,price,Below $10,0,0
jaguar/leopard/panther,price,$10–19.99,0,0
jaguar/leopard/panther,price,$20–29.99,100,3
jaguar/leopard/panther,price,$30–39.99,0,0
jaguar/leopard/panther,price,$40–49.99,0,0
jaguar/leopard/panther,price,$50–59.99,0,0
jaguar/leopard/panther,price,$60–69.99,0,0
jaguar/leopard/panther,price,$70–79.99,0,0
jaguar/leopard/panther,price,$80–89.99,0,0
jaguar/leopard/panther,price,$90–99.99,0,0
jaguar/leopard/panther,price,$100–109.99,0,0
jaguar/leopard/panther,price,$110–119.99,0,0
jaguar/leopard/panther,price,$120–129.99,0,0
jaguar/leopard/panther,price,$130–139.99,0,0
jaguar/leopard/panther,price,$140–149.99,0,0
jaguar/leopard/panther,price,$150+,0,0
jaguar/leopard/panther,rating,rating3below,0,0
jaguar/leopard/panther,rating,rating3_35,0,0
jaguar/leopard/panther,rating,rating35_4,33.33333333333333,1
jaguar/leopard/panther,rating,rating4_45,66.66666666666666,2
jaguar/leopard/panther,rating,rating45above,0,0
jaguar/leopard/panther,type,typeDessert,0,0
jaguar/leopard/panther,type,typeFortified,33.33333333333333,1
jaguar/leopard/panther,type,typeRed,0,0
jaguar/leopard/panther,type,typeRose,0,0
jaguar/leopard/panther,type,typeSparkling,33.33333333333333,1
jaguar/leopard/panther,type,typeWhite,33.33333333333333,1
jaguar/leopard/panther,median,medianPrice,,22.42
jaguar/leopard/panther,median,medianRating,,4.1
jaguar/leopard/panther,median,steals,66.66666666666666,2
lion,price,Below $10,3.004291845493562,7
lion,price,$10–19.99,15.450643776824036,36
lion,price,$20–29.99,21.030042918454935,49
lion,price,$30–39.99,11.587982832618025,27
lion,price,$40–49.99,7.296137339055794,17
lion,price,$50–59.99,7.725321888412018,18
lion,price,$60–69.99,5.150214592274678,12
lion,price,$70–79.99,4.291845493562231,10
lion,price,$80–89.99,4.291845493562231,10
lion,price,$90–99.99,3.004291845493562,7
lion,price,$100–109.99,0.4291845493562232,1
lion,price,$110–119.99,0.4291845493562232,1
lion,price,$120–129.99,0.4291845493562232,1
lion,price,$130–139.99,1.7167381974248928,4
lion,price,$140–149.99,1.2875536480686696,3
lion,price,$150+,12.875536480686694,30
lion,rating,rating3below,0,0
lion,rating,rating3_35,4.721030042918455,11
lion,rating,rating35_4,39.05579399141631,91
lion,rating,rating4_45,54.93562231759657,128
lion,rating,rating45above,1.2875536480686696,3
lion,type,typeDessert,3.862660944206009,9
lion,type,typeFortified,3.4334763948497855,8
lion,type,typeRed,48.497854077253216,113
lion,type,typeRose,2.1459227467811157,5
lion,type,typeSparkling,12.017167381974248,28
lion,type,typeWhite,30.042918454935624,70
lion,median,medianPrice,,39.98
lion,median,medianRating,,4.1
lion,median,steals,18.025751072961373,42
lion crest,price,Below $10,3.6269430051813467,7
lion crest,price,$10–19.99,15.544041450777202,30
lion crest,price,$20–29.99,19.170984455958546,37
lion crest,price,$30–39.99,12.953367875647666,25
lion crest,price,$40–49.99,6.7357512953367875,13
lion crest,price,$50–59.99,8.808290155440414,17
lion crest,price,$60–69.99,4.145077720207254,8
lion crest,price,$70–79.99,3.6269430051813467,7
lion crest,price,$80–89.99,4.66321243523316,9
lion crest,price,$90–99.99,3.6269430051813467,7
lion crest,price,$100–109.99,0.5181347150259068,1
lion crest,price,$110–119.99,0.5181347150259068,1
lion crest,price,$120–129.99,0.5181347150259068,1
lion crest,price,$130–139.99,1.5544041450777202,3
lion crest,price,$140–149.99,1.0362694300518136,2
lion crest,price,$150+,12.953367875647666,25
lion crest,rating,rating3below,0,0
lion crest,rating,rating3_35,5.181347150259067,10
lion crest,rating,rating35_4,37.82383419689119,73
lion crest,rating,rating4_45,56.476683937823836,109
lion crest,rating,rating45above,0.5181347150259068,1
lion crest,type,typeDessert,4.145077720207254,8
lion crest,type,typeFortified,3.6269430051813467,7
lion crest,type,typeRed,48.704663212435236,94
lion crest,type,typeRose,2.072538860103627,4
lion crest,type,typeSparkling,13.471502590673575,26
lion crest,type,typeWhite,27.979274611398964,54
lion crest,median,medianPrice,,39.985
lion crest,median,medianRating,,4.1
lion crest,median,steals,18.134715025906736,35
lynx,price,Below $10,0,0
lynx,price,$10–19.99,25,1
lynx,price,$20–29.99,25,1
lynx,price,$30–39.99,0,0
lynx,price,$40–49.99,25,1
lynx,price,$50–59.99,0,0
lynx,price,$60–69.99,0,0
lynx,price,$70–79.99,0,0
lynx,price,$80–89.99,0,0
lynx,price,$90–99.99,0,0
lynx,price,$100–109.99,0,0
lynx,price,$110–119.99,0,0
lynx,price,$120–129.99,0,0
lynx,price,$130–139.99,25,1
lynx,price,$140–149.99,0,0
lynx,price,$150+,0,0
lynx,rating,rating3below,0,0
lynx,rating,rating3_35,25,1
lynx,rating,rating35_4,25,1
lynx,rating,rating4_45,50,2
lynx,rating,rating45above,0,0
lynx,type,typeDessert,0,0
lynx,type,typeFortified,0,0
lynx,type,typeRed,50,2
lynx,type,typeRose,25,1
lynx,type,typeSparkling,0,0
lynx,type,typeWhite,25,1
lynx,median,medianPrice,,33.375
lynx,median,medianRating,,4.1
lynx,median,steals,25,1
tiger,price,Below $10,0,0
tiger,price,$10–19.99,0,0
tiger,price,$20–29.99,0,0
tiger,price,$30–39.99,0,0
tiger,price,$40–49.99,0,0
tiger,price,$50–59.99,0,0
tiger,price,$60–69.99,0,0
tiger,price,$70–79.99,0,0
tiger,price,$80–89.99,100,1
tiger,price,$90–99.99,0,0
tiger,price,$100–109.99,0,0
tiger,price,$110–119.99,0,0
tiger,price,$120–129.99,0,0
tiger,price,$130–139.99,0,0
tiger,price,$140–149.99,0,0
tiger,price,$150+,0,0
