topGroup,price,rating,stealPercent,totalCount
amphibian/reptile,30.965000000000003,3.95,5.263157894736842,38
bear,31.55,4.1,13.043478260869565,23
bird,25.99,4,12.770562770562771,462
bug,22.655,3.9,17.346938775510203,98
canine,28.99,4,6.956521739130435,115
cat,38.43,4.1,8.076923076923077,260
cattle,22.494999999999997,3.9,10.869565217391305,46
deer,30.49,4,6,50
fish,24.99,3.9,17.741935483870968,62
horse,25.244999999999997,4,13.194444444444445,144
marine invertebrate,22.67,3.9,18.181818181818183,33
mythical creature,34.99,4.1,14.634146341463413,123
pachyderm,23.445,3.9,8.695652173913043,23
rabbit,29.99,4,4,25
sheep,21.74,3.9,17.543859649122805,57
pig,23.22,3.8,10.714285714285714,28
all wines,26.99,4,11.96236559139785,1488
animal wines,26.99,4,11.970410221923336,1487
