topgroup,bucket,percent,count
all,3 & less,0.1069010571,9
all,3.1–3.5,4.893692838,412
all,3.6–4,50.40978739,4244
all,4.1–4.5,43.08112602,3627
all,4.6 & above,1.508492695,127
all,all,100,8419
amphibian/reptile,3 & less,0,0
amphibian/reptile,3.1–3.5,5,1
amphibian/reptile,3.6–4,55,11
amphibian/reptile,4.1–4.5,40,8
amphibian/reptile,4.6 & above,0,0
amphibian/reptile,all,100,20
bat,3 & less,0,0
bat,3.1–3.5,0,0
bat,3.6–4,100,4
bat,4.1–4.5,0,0
bat,4.6 & above,0,0
bat,all,100,4
bear,3 & less,0,0
bear,3.1–3.5,6.666666667,1
bear,3.6–4,46.66666667,7
bear,4.1–4.5,46.66666667,7
bear,4.6 & above,0,0
bear,all,100,15
big cat,3 & less,0,0
big cat,3.1–3.5,6.153846154,8
big cat,3.6–4,31.53846154,41
big cat,4.1–4.5,60.76923077,79
big cat,4.6 & above,1.538461538,2
big cat,all,100,130
bird,3 & less,0,0
bird,3.1–3.5,6.389776358,20
bird,3.6–4,55.59105431,174
bird,4.1–4.5,36.74121406,115
bird,4.6 & above,1.277955272,4
bird,all,100,313
camelus,3 & less,0,0
camelus,3.1–3.5,0,0
camelus,3.6–4,83.33333333,5
camelus,4.1–4.5,16.66666667,1
camelus,4.6 & above,0,0
camelus,all,100,6
cattle,3 & less,0,0
cattle,3.1–3.5,4.166666667,1
cattle,3.6–4,58.33333333,14
cattle,4.1–4.5,33.33333333,8
cattle,4.6 & above,4.166666667,1
cattle,all,100,24
crustacean,3 & less,0,0
crustacean,3.1–3.5,0,0
crustacean,3.6–4,100,3
crustacean,4.1–4.5,0,0
crustacean,4.6 & above,0,0
crustacean,all,100,3
deer-like,3 & less,0,0
deer-like,3.1–3.5,7.407407407,2
deer-like,3.6–4,48.14814815,13
deer-like,4.1–4.5,44.44444444,12
deer-like,4.6 & above,0,0
deer-like,all,100,27
domestic cat,3 & less,0,0
domestic cat,3.1–3.5,25,2
domestic cat,3.6–4,50,4
domestic cat,4.1–4.5,25,2
domestic cat,4.6 & above,0,0
domestic cat,all,100,8
domestic dog,3 & less,0,0
domestic dog,3.1–3.5,5.882352941,2
domestic dog,3.6–4,52.94117647,18
domestic dog,4.1–4.5,38.23529412,13
domestic dog,4.6 & above,2.941176471,1
domestic dog,all,100,34
elephant,3 & less,0,0
elephant,3.1–3.5,20,2
elephant,3.6–4,50,5
elephant,4.1–4.5,20,2
elephant,4.6 & above,10,1
elephant,all,100,10
fish,3 & less,0,0
fish,3.1–3.5,2.941176471,1
fish,3.6–4,73.52941176,25
fish,4.1–4.5,23.52941176,8
fish,4.6 & above,0,0
fish,all,100,34
hippopotamus,3 & less,0,0
hippopotamus,3.1–3.5,50,1
hippopotamus,3.6–4,50,1
hippopotamus,4.1–4.5,0,0
hippopotamus,4.6 & above,0,0
hippopotamus,all,100,2
horse,3 & less,1.449275362,1
horse,3.1–3.5,10.14492754,7
