topgroup,bucket,percent,count
horse,3.6–4,49.27536232,34
horse,4.1–4.5,39.13043478,27
horse,4.6 & above,0,0
horse,all,100,69
insect,3 & less,0,0
insect,3.1–3.5,9.836065574,6
insect,3.6–4,55.73770492,34
insect,4.1–4.5,34.42622951,21
insect,4.6 & above,0,0
insect,all,100,61
marsupial,3 & less,0,0
marsupial,3.1–3.5,50,2
marsupial,3.6–4,0,0
marsupial,4.1–4.5,50,2
marsupial,4.6 & above,0,0
marsupial,all,100,4
monkey,3 & less,0,0
monkey,3.1–3.5,0,0
monkey,3.6–4,80,4
monkey,4.1–4.5,20,1
monkey,4.6 & above,0,0
monkey,all,100,5
mustelid-like,3 & less,0,0
mustelid-like,3.1–3.5,0,0
mustelid-like,3.6–4,50,2
mustelid-like,4.1–4.5,50,2
mustelid-like,4.6 & above,0,0
mustelid-like,all,100,4
mythical,3 & less,0,0
mythical,3.1–3.5,4.225352113,3
mythical,3.6–4,42.25352113,30
mythical,4.1–4.5,49.29577465,35
mythical,4.6 & above,4.225352113,3
mythical,all,100,71
none,3 & less,0.09416195857,7
none,3.1–3.5,4.681194512,348
none,3.6–4,50.02690342,3719
none,4.1–4.5,43.65079365,3245
none,4.6 & above,1.546946462,115
none,all,100,7434
rabbit,3 & less,0,0
rabbit,3.1–3.5,0,0
rabbit,3.6–4,57.14285714,8
rabbit,4.1–4.5,42.85714286,6
rabbit,4.6 & above,0,0
rabbit,all,100,14
ram-like,3 & less,0,0
ram-like,3.1–3.5,4.651162791,2
ram-like,3.6–4,67.44186047,29
ram-like,4.1–4.5,27.90697674,12
ram-like,4.6 & above,0,0
ram-like,all,100,43
rhino,3 & less,0,0
rhino,3.1–3.5,0,0
rhino,3.6–4,75,3
rhino,4.1–4.5,25,1
rhino,4.6 & above,0,0
rhino,all,100,4
rodent-like,3 & less,0,0
rodent-like,3.1–3.5,0,0
rodent-like,3.6–4,100,4
rodent-like,4.1–4.5,0,0
rodent-like,4.6 & above,0,0
rodent-like,all,100,4
shell,3 & less,0,0
shell,3.1–3.5,0,0
shell,3.6–4,92.30769231,12
shell,4.1–4.5,7.692307692,1
shell,4.6 & above,0,0
shell,all,100,13
suid,3 & less,4.545454545,1
suid,3.1–3.5,4.545454545,1
suid,3.6–4,54.54545455,12
suid,4.1–4.5,36.36363636,8
suid,4.6 & above,0,0
suid,all,100,22
whale/shark/dolphin,3 & less,0,0
whale/shark/dolphin,3.1–3.5,0,0
whale/shark/dolphin,3.6–4,81.81818182,9
whale/shark/dolphin,4.1–4.5,18.18181818,2
whale/shark/dolphin,4.6 & above,0,0
whale/shark/dolphin,all,100,11
wild dog,3 & less,0,0
wild dog,3.1–3.5,6.666666667,2
wild dog,3.6–4,63.33333333,19
wild dog,4.1–4.5,30,9
wild dog,4.6 & above,0,0
wild dog,all,100,30
